Title,Abstract,Authors,Journal,Year,PMID,PMC,DOI,pubmed_url,pmc_url,ClaudiaIsRelated,ClaudiaStrategy,ClaudiaPopulation,ClaudiaOutcome,OpenAIIsRelated,OpenAIStrategy,OpenAIPopulation,OpenAIOutcome
Barriers to undergraduate medical students' research engagement in Pakistan: a qualitative exploration.,"Engaging in research is a critical component of medical education, fostering critical thinking and evidence-based practices. Despite its importance, undergraduate medical students in Pakistan face significant barriers to research engagement. This study explores the challenges hindering their participation in research activities. A qualitative research design was employed, utilizing semi-structured interviews with 45 undergraduate medical and dental students from a public medical university in Pakistan. Participants were purposefully selected to provide diverse perspectives. Data were analyzed thematically to identify recurring barriers and challenges. Four key themes emerged: (1) Time constraints, as academic workloads and clinical rotations left limited time for research; (2) Lack of extrinsic motivation, knowledge, and research ability, including insufficient training and limited institutional incentives; (3) Inadequate financial assistance and poor maintenance of research facilities, with students highlighting a lack of funding and outdated infrastructure; and (4) Lack of support from research mentors and training, emphasizing the need for effective mentorship and structured research programs. These barriers collectively hinder students' ability to engage meaningfully in research. The study highlights the urgent need for systemic reforms in medical education, including integrating research training into curricula, improving mentorship programs, providing financial and infrastructural support, and incentivizing research participation. Addressing these challenges can foster a culture of inquiry, empowering students to contribute to advancements in medical science.","Mahmood Amir, Rehman Nadia, Huang Xiao, Riaz Irfan",BMC medical education,2025,40269854,PMC12016454,10.1186/s12909-025-07185-9,https://pubmed.ncbi.nlm.nih.gov/40269854,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12016454,FALSE,,,,FALSE,,,
"Intrinsic Motivation, Attitudes, and Practices of Young Physicians Regarding Scientific Research: Cross-Sectional Study in China.","Recent decades have witnessed a concerning global trend of declining engagement among physician scientists, with participation rates falling from 4.7% in the 1980s to approximately 1.5% today in the United States. The research highlights the declining engagement of physician scientists and the challenges young physicians face in participating in clinical research. This study aims to examine the intrinsic motivation, attitudes, and practices of young physicians toward scientific research and its clinical value and identify factors that influence their engagement in research activities. We developed a comprehensive questionnaire measuring intrinsic motivation (27 items; score range 27-135), attitudes (8 items; score range 8-40), and practices (7 items; score range 7-35) related to scientific research among physicians. Cronbach α coefficients for the 3 dimensions were 0.967, 0.916, and 0.937, respectively. A cross-sectional survey was conducted on young physicians from 12 hospitals in eastern provinces of China between May 2024 and October 2024. A total of 532 valid questionnaires were obtained. Among the respondents, 271 (50.9%) were female, and 317 (59.6%) had not led or been deeply involved in a research project. Most physicians (more than 80%) reported high intrinsic motivation and positive attitudes, but relatively fewer demonstrated active research practices. Key challenges identified included balancing research with clinical work (n=102, 19.2%) disagreed that research alleviates clinical monotony) and insufficient institutional support (n=329, 61.3%) reported inadequate research investment from their hospitals). The mean scores for intrinsic motivation, attitude, and practice were 108.79 (SD 11.91; possible range: 27-135), 32.23 (SD 4.27; possible range: 8-40), and 27.44 (SD 3.81; possible range: 7-35), respectively. Multivariate logistic regression showed that intrinsic motivation score (odds ratio [OR] 1.063, 95% CI 1.035-1.091), attitude score (OR 1.095, 95% CI 1.029-1.165), and good research atmosphere (OR 1.915, 95% CI 1.038-3.533) were independently associated with practice. Moreover, structural equation modeling analysis revealed that intrinsic motivation had a direct effect on attitude (β=0.854; P<.001), attitude directly affected practice (β=0.637; P<.001), and intrinsic motivation indirectly influenced practice through attitude (β=0.544; P<.001). Despite high levels of intrinsic motivation and positive attitudes toward research, young physicians face significant barriers to active research engagement. Our findings suggest that fostering a supportive research environment is a critical factor that can help translate motivation into practice. Young physicians exhibited positive intrinsic motivation and attitudes but relatively inactive practices toward scientific research and its clinical application. Institutional initiatives should focus on providing protected research time, formal mentorship programs, and adequate research infrastructure to leverage young physicians' existing motivation. Addressing the gap between motivation and practice could significantly contribute to reversing the declining trend of physician scientists and enhancing evidence-based medicine implementation.","Wang Liwei, Ren Jiajia, Zhang Song, Sun Yu'e, Ding Yu, Yang Congxian, Zheng Chan, Shi Zhenduo, Zhu Yangzi",Journal of medical Internet research,2025,40262128,,10.2196/72633,https://pubmed.ncbi.nlm.nih.gov/40262128,,FALSE,,,,FALSE,,,
Randomized Comparison of Oblique versus Transverse Orientation for Ultrasound-Guided Internal Jugular Venous Cannulation in Pediatric Heart Surgery Patients.,Ultrasound-guided internal jugular venous access improves the rate of successful cannulation of the internal jugular vein in both adult and pediatric patients. Internal jugular venous cannulation in pediatric patients is anatomically and technically more challenging than in adults. The oblique method is a novel approach for guiding central venous cannulation. There is currently a scarcity of research on central venous cannulation techniques for pediatric patients. The purpose of this study was to compare the success rates between the oblique and transverse approach of jugular venous cannulation in pediatric cardiac surgery patients. A prospective randomized clinical trial of pediatric patients who underwent cardiac surgery at Cipto Mangunkusumo Hospital was conducted between February and May 2021. Sixty patients were randomized into two groups: 30 in the oblique group and 30 in the transverse group. There was no difference in the first needle pass success rate between the oblique and transversal approaches (86.7% vs. 73.3%; P = 0.19). There is no difference in the total number of attempts between the two groups (1.3 vs 1.43; P > 0.05). There was no difference between oblique and transverse orientations for internal jugular venous cannulation in pediatric cardiac surgery patients in terms of successful cannulation on the first needle pass and total number of attempts.,"Heriwardito Aldy, Manggala Sidharta K, Christina Angela",Annals of cardiac anaesthesia,2025,40237661,,10.4103/aca.aca_167_24,https://pubmed.ncbi.nlm.nih.gov/40237661,,FALSE,,,,FALSE,,,
Strengthening trauma resuscitation education and training in low-resource settings: A call for global inclusion.,"Trauma is a leading cause of preventable death worldwide, disproportionately affecting low-resource settings where access to specialized care is limited. Systemic barriers, including fragmented trauma networks and workforce shortages, contribute to poor outcomes. Strengthening trauma resuscitation through structured education and training is critical to improving survival and reducing disparities. However, traditional trauma training models often fail to address regional constraints, limiting their effectiveness. Brazil has developed a comprehensive trauma resuscitation education model by integrating public awareness campaigns, medical student-led initiatives, digital learning, simulation-based training, and telemedical support. A horizontal approach to trauma patient management, combined with hands-on immersive simulation training, has further enhanced this framework, emphasizing the team approach and non-technical skills essential for high-performance trauma care. This narrative review examines Brazil's trauma resuscitation training strategies and explores their potential to serve as a template for low-resource settings. By analyzing key educational components, we identify cost-effective solutions to strengthen trauma system capacity. To bridge disparities, trauma education must extend beyond well-resourced environments. Faculty development, sustainable mentorship, and access to technology-driven education are critical to equipping providers with the skills needed to manage complex trauma scenarios. Mobile simulation units and telemedicine platforms expand training to remote regions, while scalable digital platforms enable real-time collaboration. Despite these advancements, funding constraints, logistical barriers, and the need for culturally tailored education hinder widespread implementation. Embedding trauma education into national health policies and disaster response systems is essential to ensuring sustainable, high-quality trauma care worldwide.","Lulic Ileana, Mesquita Carlos, Lulic Dinka, Simões Romeo Lages, Ferreira Luís, Koleda Piotr, Baptista Sérgio, Alexandrino Henrique, Calderan Thiago Rodrigues, Carvalho Vanessa Henriques, Kruger Vitor Favali, Belem Rodrigo Caselli, López-Mozos Fernando, Yanez Carlos, Saric Jadranka Pavicic, Fraga Gustavo Pereira",Resuscitation plus,2025,40235927,PMC11999482,10.1016/j.resplu.2025.100935,https://pubmed.ncbi.nlm.nih.gov/40235927,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11999482,FALSE,,,,FALSE,,,
Effect of Intravenous Anesthesia With Remimazolam Besylate on Hemodynamics and Neuroprotection in Patients Undergoing Surgery for Craniocerebral Injury.,"This study aimed to investigate the effect of intravenous anesthesia with remimazolam besylate on hemodynamics and neuroprotection in patients undergoing surgery for craniocerebral injury. This retrospective study analyzed the clinical data from 92 patients with craniocerebral injury who underwent craniotomy at Peking University International Hospital between May 2021 and August 2023. Based on anesthesia method applied, patients were divided into the observation group (n = 49) and the conventional group (n = 43). The conventional group underwent conventional anesthesia, and the observation group received intravenous anesthesia with remimazolam besylate. All patients were followed up for 3 months after surgery. Furthermore, perioperative hemodynamic indicators and neurological function were compared between the two groups at different time points, such as T0 (before surgery), T1 (30 minutes after anesthesia), T2 (at the end of surgery), and T3 (24 hours post-surgery). Additionally, perioperative indicators, postoperative adverse reactions, and prognosis were statistically analyzed. From T0 to T1, heart rate (HR), peripheral capillary oxygen saturation (SpO<sub>2</sub>), and mean arterial pressure (MAP) showed an increasing trend in both groups. Afterwards, HR and MAP demonstrated a decreasing trend in both groups, and ultimately restoring to T0 level. However, SpO<sub>2</sub> remained stable and then decreased slightly. The differences in HR, SpO<sub>2</sub>, and MAP levels between the two groups and across different time points were statistically significant (p < 0.05). At T3, the levels of Tau protein, neuron-specific enolase, and glial fibrillary acidic protein were lower in the observation group than in the conventional group (p < 0.05). Furthermore, the observation group demonstrated shorter spontaneous breathing recovery time, eye-opening time, orientation recovery time, extubation time, length of intensive care unit (ICU) stays, and total hospital stay than the conventional group (p < 0.05). Additionally, the incidence rates of arrhythmia and pulmonary infection were lower in the observation group than in the conventional group (p < 0.05). Similarly, the observation group exhibited a better overall prognosis than the conventional group (p < 0.05). Intravenous anesthesia with remimazolam besylate in patients undergoing surgery for craniocerebral injury can maintain stable hemodynamics, protect neurological function, and promote post-surgery recovery.","Li Hongpei, Liu Kunpeng, Li Hao, Gu Juanjuan, Yao Lan",Annali italiani di chirurgia,2025,40234226,,10.62713/aic.3867,https://pubmed.ncbi.nlm.nih.gov/40234226,,FALSE,,,,FALSE,,,
Single versus two-level superficial parasternal intercostal plane block: cadaveric evaluation of injectate spread with needle tip position on anterior surface of costal cartilage.,"Superficial parasternal intercostal plane blocks have grown in clinical use for cardiac surgery as a targeted fascial plane block for median sternotomy. Despite this, there remains no consensus on technique for optimal parasternal spread of injectate. The primary objective of this cadaveric study was to evaluate parasternal spread of injectate of single versus two-level superficial parasternal intercostal plane injections with the needle tip positioned on the anterior surface of the costal cartilage. We performed 10 single-level injections at T4 and 10 two-level injections at T3 and T5 on alternating sides in 10 fresh frozen cadavers. All injections were ultrasound guided with a parasagittal ultrasound probe orientation and an in-plane needle orientation. Anatomic dissections were performed immediately following injections. Parasternal spread of injectate was greater with two-level injections at T3 and T5 costal cartilages than with single-level injections at the T4 costal cartilage, with two-level injections consistently spreading to the T2-T5 intercostal spaces. Median (Q1, Q3) intercostal space spread for single-level injections was 2.0 (2.0-2.5). Median (Q1, Q3) intercostal space spread for two-level injections was 4.0 (4.0-4.375). Two-level injections with the needle tip located on the anterior surface of the costal cartilage resulted in improved parasternal spread compared with single-level injections.","Christensen Jon, Ritter Matthew, Douglas Rachel, Kattil Punnose, Lachman Nirusha, Mauermann William J",Regional anesthesia and pain medicine,2025,40194831,,10.1136/rapm-2025-106488,https://pubmed.ncbi.nlm.nih.gov/40194831,,FALSE,,,,FALSE,,,
Mentorship in Pain Medicine Fellowship: Addressing the Gaps and Advocating for Change.,,"Wahezi Sayed E, Yener Ugur, Staats Peter S, Eshraghi Yashar, Day Miles, Schatman Michael E, Pritzlaff Scott G",Journal of pain research,2025,40161202,PMC11952058,10.2147/JPR.S525160,https://pubmed.ncbi.nlm.nih.gov/40161202,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11952058,TRUE,mentorship in pain medicine fellowship,pain medicine fellows,addressing gaps and advocating for change in pain medicine training,TRUE,Mentorship,Pain Medicine Fellowship,Addressing the Gaps and Advocating for Change
Women Physicians in Leadership Roles in Critical Care Medicine or Academic Medicine-A Systematic Literature Review.,"To systematically review and synthesize the evidence surrounding factors impacting women rising to leadership positions in critical care medicine (CCM). PubMed, Embase, Web of Science, and Cochrane Library from 2011 to 2024. Articles included were cohort studies, surveys, and interviews addressing women physicians practicing in CCM and related fields of academic medicine. Causes of not rising to leadership among women were extracted and tabulated along with other pertinent study characteristics. The database searches generated 892 records. Thirty-nine studies met inclusion criteria for data extraction. The included articles represented seven countries, with 30 studies originating in the United States. Only two studies were from CCM, whereas others addressed leadership in other academic and clinical fields of medicine, medical journals, and societies and medical faculty. Twenty-six studies were qualitative, observational studies; five were survey based and eight included interviews. Using thematic analysis, the following five domains emerged: pipeline issues, lack of opportunities, lack of self-efficacy, lack of mentorship, and sustaining women in leadership. While the satisfaction rates of women in CCM were high, challenges remain for women to obtain leadership opportunities. A culture of support could better nurture and sustain women in leadership roles. More CCM-focused gender bias research is needed. Future targets for interventions include gender bias training, awareness, and developing strategies to break through the cycle of gender preferential promotions in CCM.","Siddiqui Shahla, Gali Bhargavi, Cotter Elizabeth, Short Margo, McNichol Megan, Mulaikal Teresa A, Cassavaugh Jessica, Chow Jarva, Russell Cortessa, Golhar Shweta Y, Ben-Jacob Talia K",Critical care explorations,2025,40153554,PMC11957621,10.1097/CCE.0000000000001249,https://pubmed.ncbi.nlm.nih.gov/40153554,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11957621,FALSE,,,,FALSE,,,
Student Mentorship Pathways Within Physician Assistant/Associate Training Programs: A National Survey.,"Early training and career mentorship has many notable benefits for health care professionals. Little is known about student mentorship pathways within physician assistant/associate (PA) training programs. Using an Internet-based questionnaire, the authors surveyed 332 PA programs from May 7 to June 10, 2024. Survey items addressed informal and formal student mentoring pathways. The response rate was 96 of 322 (30%). Overall, 40 of 96 (42%) PA programs reported having formal student mentoring pathways. Taking into account for participant drop off, of programs completing the informal mentoring section of the survey, 36 of 74 (49%) had informal student mentoring pathways. A total of 8 programs reported having both student pathways. There were differences in the primary objectives for formal and informal student mentoring pathways. Both student mentoring pathways were designed to support established learning outcomes, followed by supporting formal PA program goals. Less than half of PA programs report having student mentorship pathways. Even fewer PA programs have student mentorship pathways with formal structure, curriculum, or outcome measures.","Louwagie Victoria S, Strelow Brittany A, Jenkins Sarah M, Huang Jeffrey, Billings Heather, Cook David A",The journal of physician assistant education : the official journal of the Physician Assistant Education Association,2025,40079552,,10.1097/JPA.0000000000000660,https://pubmed.ncbi.nlm.nih.gov/40079552,,FALSE,,,,FALSE,,,
"Comparison of the Learning Curves of Ultrasound-Guided In-Plane Needle Placement Among Four Different Puncture Modes: A Randomized, Crossover, Simulation Study.","The effects of different positional relationships between the probe, needle, and puncture model on in-plane puncture performance have not been fully evaluated. In this simulation study, we used a 4-period crossover design to compare the learning curves of ultrasound-guided in-plane needle placement among 4 different puncture modes by novices. Forty residents were randomly assigned to receive training in one of 4 puncture modes according to the placement of the puncture model and the orientation of the probe to the operator: horizontal phantom-parallel probe (HP), horizontal phantom-vertical probe (HV), vertical phantom-parallel probe (VP), and vertical phantom-vertical probe (VV). They were allowed 10 trials on each mode and then received the other 3 trainings following the predefined sequences based on a Williams design. Puncture time was recorded from needle entry until successful in-plane puncture under ultrasound guidance. Linear and generalized linear models indicated significant effects of puncture mode and trial number on puncture time (P < .001 for all models). The mean (standard deviation [SD]) puncture times for 10 trials were 44 (44) s for HP, 37 (34) s for HV, 80 (57) s for VP, and 46 (48) s for VV. HV had the shortest puncture time, while VP had the longest. No significant difference was observed in puncture time between VV and HP modes (P = .330). Within each mode, puncture time significantly decreased from the first to the tenth trial (P = .001 for HP, P < .001 for HV, P < .001 for VP, and P = .002 for VV). VP showed the steepest learning curve; however, even after 10 trials, its puncture time remained significantly higher than that of the other 3 modes (P < .001 for all comparisons). Ultrasound-guided in-plane puncture difficulty follows the order VP > HP = VV > HV.","Hu Yingjie, Xiao Jing, He Xiao, Qin Tingting, Wan Li, Yao Wenlong",Anesthesia and analgesia,2025,40048379,,10.1213/ANE.0000000000007459,https://pubmed.ncbi.nlm.nih.gov/40048379,,TRUE,Simulation-based training comparing four different ultrasound-guided in-plane needle placement techniques,Novice anesthesiology residents,Improved proficiency in ultrasound-guided needle placement with identification of optimal technique (horizontal phantom-vertical probe had shortest puncture time),FALSE,,,
