pubmed_url,PMID,PMC,DOI
https://pubmed.ncbi.nlm.nih.gov/40022743,40022743,,10.3171/2024.12.FOCUS24602
https://pubmed.ncbi.nlm.nih.gov/39969456,39969456,,10.1016/j.neurom.2024.12.008
https://pubmed.ncbi.nlm.nih.gov/39748348,39748348,PMC11697482,10.1186/s12909-024-06565-x
https://pubmed.ncbi.nlm.nih.gov/39689028,39689028,,10.1093/pm/pnae128
https://pubmed.ncbi.nlm.nih.gov/39467721,39467721,,10.1016/j.sempedsurg.2024.151452
https://pubmed.ncbi.nlm.nih.gov/39242999,39242999,PMC11378607,10.1186/s12871-024-02692-6
https://pubmed.ncbi.nlm.nih.gov/39045417,39045417,PMC11264376,10.3389/fmed.2024.1386681
https://pubmed.ncbi.nlm.nih.gov/39036163,39036163,PMC11260497,10.7759/cureus.62856
https://pubmed.ncbi.nlm.nih.gov/38919433,38919433,PMC11196044,10.4103/joacp.joacp_234_22
https://pubmed.ncbi.nlm.nih.gov/38744551,38744551,,10.1016/j.bja.2024.03.041
https://pubmed.ncbi.nlm.nih.gov/38496363,38496363,PMC10941690,10.5334/pme.1189
https://pubmed.ncbi.nlm.nih.gov/38343471,38343471,PMC10857532,10.1080/08998280.2023.2301236
https://pubmed.ncbi.nlm.nih.gov/38289857,38289857,,10.1213/ANE.0000000000006826
https://pubmed.ncbi.nlm.nih.gov/38289688,38289688,,
https://pubmed.ncbi.nlm.nih.gov/38173630,38173630,PMC10760613,10.4103/jiaps.jiaps_115_23
https://pubmed.ncbi.nlm.nih.gov/38162707,38162707,PMC10753154,10.46374/volxxv_issue4_Soppe
https://pubmed.ncbi.nlm.nih.gov/38133566,38133566,,10.1016/j.jclinane.2023.111308
https://pubmed.ncbi.nlm.nih.gov/38113930,38113930,,10.1097/NNE.0000000000001559
https://pubmed.ncbi.nlm.nih.gov/37712617,37712617,,10.1213/XAA.0000000000001715
https://pubmed.ncbi.nlm.nih.gov/37712466,37712466,,10.1213/ANE.0000000000006646
https://pubmed.ncbi.nlm.nih.gov/37684165,37684165,PMC10636519,10.1016/j.bja.2023.07.030
https://pubmed.ncbi.nlm.nih.gov/37646585,37646585,,10.1097/JXX.0000000000000943
https://pubmed.ncbi.nlm.nih.gov/36774471,36774471,PMC9921340,10.1186/s12909-023-04080-z
https://pubmed.ncbi.nlm.nih.gov/36709273,36709273,PMC9883812,10.1186/s12909-023-04023-8
https://pubmed.ncbi.nlm.nih.gov/36643864,36643864,PMC9839373,10.1080/24740527.2022.2111993
https://pubmed.ncbi.nlm.nih.gov/36331372,36331372,,10.1111/pan.14596
https://pubmed.ncbi.nlm.nih.gov/36274996,36274996,PMC9583761,10.46374/volxxiv_issue3_cavallone
https://pubmed.ncbi.nlm.nih.gov/36173790,36173790,,
https://pubmed.ncbi.nlm.nih.gov/35853704,35853704,,10.4187/respcare.09870
https://pubmed.ncbi.nlm.nih.gov/35707019,35707019,PMC9176400,10.46374/volxxiv_issue1_schott
https://pubmed.ncbi.nlm.nih.gov/35659402,35659402,,10.1016/j.anclin.2022.01.005
https://pubmed.ncbi.nlm.nih.gov/38809209,38809209,,
https://pubmed.ncbi.nlm.nih.gov/35550391,35550391,,10.1213/ANE.0000000000006073
https://pubmed.ncbi.nlm.nih.gov/35242473,35242473,PMC8883744,10.7759/cureus.21706
https://pubmed.ncbi.nlm.nih.gov/34750746,34750746,PMC9343303,10.1007/s12630-021-02143-7
https://pubmed.ncbi.nlm.nih.gov/34733389,34733389,PMC8531958,10.11604/pamj.2021.40.21.29191
https://pubmed.ncbi.nlm.nih.gov/34586998,34586998,,
https://pubmed.ncbi.nlm.nih.gov/34540632,34540632,PMC8438708,10.5812/aapm.113606
https://pubmed.ncbi.nlm.nih.gov/34517375,34517375,,10.1213/ANE.0000000000005740
https://pubmed.ncbi.nlm.nih.gov/34459437,34459437,,10.1097/CEH.0000000000000378
https://pubmed.ncbi.nlm.nih.gov/34188632,34188632,PMC8191262,10.4103/sja.sja_1145_20
https://pubmed.ncbi.nlm.nih.gov/34043602,34043602,,10.1213/XAA.0000000000001474
https://pubmed.ncbi.nlm.nih.gov/33786528,33786528,PMC7935037,10.1089/whr.2020.0095
https://pubmed.ncbi.nlm.nih.gov/33768148,33768148,PMC7970634,10.15766/mep_2374-8265.11116
https://pubmed.ncbi.nlm.nih.gov/33447652,33447652,PMC7792580,10.46374/volxxii-issue4-schiavi
https://pubmed.ncbi.nlm.nih.gov/33225015,33225015,PMC7664602,10.46374/volxxii-issue3-Licatino
https://pubmed.ncbi.nlm.nih.gov/32964069,32964069,PMC7489476,10.46374/volxxii-issue2-njoku
https://pubmed.ncbi.nlm.nih.gov/32726879,32726879,,10.1111/pan.13978
https://pubmed.ncbi.nlm.nih.gov/32593377,32593377,,10.1016/j.janh.2019.08.005
https://pubmed.ncbi.nlm.nih.gov/32547933,32547933,PMC7260396,10.5812/aapm.98566
https://pubmed.ncbi.nlm.nih.gov/32379882,32379882,PMC7239119,10.1093/pm/pnaa176
https://pubmed.ncbi.nlm.nih.gov/32267048,32267048,,10.1111/pan.13867
https://pubmed.ncbi.nlm.nih.gov/32069469,32069469,PMC7768097,10.1159/000506597
https://pubmed.ncbi.nlm.nih.gov/31988981,31988981,PMC6972970,
https://pubmed.ncbi.nlm.nih.gov/31988980,31988980,PMC6972967,
https://pubmed.ncbi.nlm.nih.gov/31576706,31576706,,
https://pubmed.ncbi.nlm.nih.gov/31372584,31372584,PMC6675408,10.1097/PR9.0000000000000639
https://pubmed.ncbi.nlm.nih.gov/30881915,30881915,PMC6412912,10.5812/aapm.88657
https://pubmed.ncbi.nlm.nih.gov/30638919,30638919,,10.1053/j.jvca.2018.12.003
https://pubmed.ncbi.nlm.nih.gov/30134254,30134254,,10.1213/XAA.0000000000000880
https://pubmed.ncbi.nlm.nih.gov/29928666,29928666,PMC5993005,
https://pubmed.ncbi.nlm.nih.gov/29547425,29547425,,10.1213/ANE.0000000000002664
https://pubmed.ncbi.nlm.nih.gov/29461263,29461263,,10.1097/ACO.0000000000000583
https://pubmed.ncbi.nlm.nih.gov/29030677,29030677,,10.1007/s00268-017-4271-5
https://pubmed.ncbi.nlm.nih.gov/28884135,28884135,PMC5581964,
https://pubmed.ncbi.nlm.nih.gov/28649448,28649448,PMC5471817,10.1017/cts.2016.29
https://pubmed.ncbi.nlm.nih.gov/28262499,28262499,,10.1016/j.vaa.2016.08.004
https://pubmed.ncbi.nlm.nih.gov/28092066,28092066,,10.1007/s12630-017-0816-1
https://pubmed.ncbi.nlm.nih.gov/27878890,27878890,,10.1111/pan.13064
https://pubmed.ncbi.nlm.nih.gov/27848199,27848199,,10.1007/s12630-016-0772-1
https://pubmed.ncbi.nlm.nih.gov/27787571,27787571,,10.1007/s00101-016-0231-y
https://pubmed.ncbi.nlm.nih.gov/27555175,27555175,,10.1016/j.jclinane.2016.03.004
https://pubmed.ncbi.nlm.nih.gov/27246662,27246662,,10.7863/ultra.15.09031
https://pubmed.ncbi.nlm.nih.gov/27185704,27185704,,10.1016/j.jclinane.2016.02.006
https://pubmed.ncbi.nlm.nih.gov/27060087,27060087,,10.1007/s12630-016-0649-3
https://pubmed.ncbi.nlm.nih.gov/26934609,26934609,,10.1213/XAA.0000000000000304
https://pubmed.ncbi.nlm.nih.gov/26087911,26087911,,10.1007/s12630-015-0418-8
